NHL;Player;new;old;Pos;GP;G / W;A / SO;P;GG;AA;PP;Salary;PoolRank;OT
730;Dominik Simon;None;PIT,ANA;C;72;3;10;13;6;10;16;0;651;0
735;Jason Dickinson;VAN;VAN;C;62;5;6;11;10;6;16;2650000;652;0
741;Cody Eakin;None;BUF;C;69;4;8;12;8;8;16;0;653;0
794;Nicolas Meloche;CGY;SJS;D;50;2;5;7;6;10;16;950000;654;0
819;Travis Dermott;VAN;TOR,VAN;D;60;2;5;7;6;10;16;1500000;655;0
823;Tobias Bjornfot;LAK;LAK;D;70;0;8;8;0;16;16;894167;656;0
824;Patrik Nemeth;ARI;NYR;D;63;2;5;7;6;10;16;2500000;657;0
834;Jeremy Lauzon;NAS;SEA,NSH;D;66;2;5;7;6;10;16;2000000;658;0
403;Adam Ruzicka;CGY;CGY;C;28;5;5;10;10;5;15;0;659;0
462;Vinni Lettieri;BOS;ANA;C;31;5;5;10;10;5;15;750000;660;0
512;Joe Thornton;None;FLA;C;34;5;5;10;10;5;15;0;661;0
532;Logan Brown;STL;STL;C;39;4;7;11;8;7;15;750000;662;0
590;Joel Edmundson;MTL;MTL;D;24;3;3;6;9;6;15;3500000;663;0
602;Quinton Byfield;LAK;LAK;C;40;5;5;10;10;5;15;894167;664;0
614;Tyler Bozak;None;STL;C;50;3;9;12;6;9;15;0;665;0
688;Nick Foligno;BOS;BOS;L;64;2;11;13;4;11;15;3800000;666;0
714;Christian Fischer;ARI;ARI;R;53;5;5;10;10;5;15;1125875;667;0
731;Ryan Carpenter;NYR;CHI,CGY;C;67;3;9;12;6;9;15;750000;668;0
215;Noah Cates;PHI;PHI;L;16;5;4;9;10;4;14;925000;669;0
228;Michael Stone;None;CGY;D;11;2;4;6;6;8;14;0;670;0
601;Corey Schueneman;MTL;MTL;D;24;2;4;6;6;8;14;750000;671;0
685;Cam Dineen;ARI;ARI;D;34;0;7;7;0;14;14;750000;672;0
713;Victor Mete;TOR;OTT;D;37;0;7;7;0;14;14;750000;673;0
797;Joel Hanley;DAL;DAL;D;44;2;4;6;6;8;14;750000;674;0
331;Colin White;FLA;OTT;C;24;3;7;10;6;7;13;1200000;675;0
400;Mathieu Perreault;bye;MTL;C;25;4;5;9;8;5;13;0;676;0
589;Ryan Dzingel;CAR;ARI,SJS;C;32;5;3;8;10;3;13;750000;677;0
640;Karson Kuhlman;SEA;BOS,SEA;C;44;3;7;10;6;7;13;825000;678;0
646;Klim Kostin;STL;STL;C;40;4;5;9;8;5;13;750000;679;0
687;Patrick Brown;PHI;PHI;C;44;4;5;9;8;5;13;750000;680;0
770;Andrej Sustr;MIN;TBL,ANA;D;38;1;5;6;3;10;13;750000;681;0
772;Ryan Merkley;SJS;SJS;D;39;1;5;6;3;10;13;863333;682;0
795;Anders Bjork;BUF;BUF;L;58;5;3;8;10;3;13;1600000;683;0
857;Robert Bortuzzo;STL;STL;D;73;1;5;6;3;10;13;950000;684;0
77;Matthew Beniers;SEA;SEA;C;10;3;6;9;6;6;12;897500;685;0
287;Sami Niku;None;MTL;D;13;0;6;6;0;12;12;0;686;0
475;Scott Perunovich;STL;STL;D;19;0;6;6;0;12;12;750000;687;0
535;Gabriel Vilardi;LAK;LAK;C;25;5;2;7;10;2;12;825000;688;0
544;Aliaksei Protas;WAS;WSH;C;33;3;6;9;6;6;12;789167;689;0
629;Brendan Gaunce;CLB;CBJ;C;30;5;2;7;10;2;12;762500;690;0
683;Urho Vaakanainen;ANA;BOS,ANA;D;29;0;6;6;0;12;12;850000;691;0
725;Brad Richardson;None;CGY,VAN;R;44;4;4;8;8;4;12;0;692;0
756;Casey Fitzgerald;BUF;BUF;D;36;0;6;6;0;12;12;750000;693;0
775;Antoine Roussel;None;ARI;L;53;4;4;8;8;4;12;0;694;0
815;Zack MacEwen;None;PHI;C;75;3;6;9;6;6;12;0;695;0
822;Josh Brown;None;OTT,BOS;D;52;0;6;6;0;12;12;0;696;0
853;Kurtis MacDermid;COL;COL;D;58;2;3;5;6;6;12;987500;697;0
14;Ryan Ellis;PHI;PHI;D;4;1;4;5;3;8;11;6250000;698;0
204;Joe Snively;WAS;WSH;C;12;4;3;7;8;3;11;800000;699;0
208;Fabian Zetterlund;NJD;NJD;L;14;3;5;8;6;5;11;750000;700;0
357;Noel Acciari;STL;FLA;C;20;3;5;8;6;5;11;1250000;701;0
533;Anton Blidh;COL;BOS;L;32;2;7;9;4;7;11;750000;702;0
553;Dakota Joshua;VAN;STL;C;30;3;5;8;6;5;11;825000;703;0
574;Paul Byron;MTL;MTL;L;27;4;3;7;8;3;11;3400000;704;0
617;Robin Salo;NYI;NYI;D;21;1;4;5;3;8;11;800000;705;0
710;Mark Friedman;PIT;PIT;D;26;1;4;5;3;8;11;775000;706;0
773;Givani Smith;DET;DET;R;46;4;3;7;8;3;11;750000;707;0
798;Henrik Borgstrom;WAS;CHI;C;52;4;3;7;8;3;11;750000;708;0
816;Kyle Burroughs;VAN;VAN;D;42;1;4;5;3;8;11;750000;709;0
846;Simon Benoit;ANA;ANA;D;53;1;4;5;3;8;11;750000;710;0
332;Ville Heinola;WPG;WPG;D;12;0;5;5;0;10;10;863333;711;0
413;Kole Lind;SEA;SEA;R;23;2;6;8;4;6;10;850000;712;0
433;Dylan Samberg;WPG;WPG;D;15;0;5;5;0;10;10;925000;713;0
479;Lassi Thomson;OTT;OTT;D;16;0;5;5;0;10;10;863333;714;0
527;Michael Carcone;ARI;ARI;L;21;4;2;6;8;2;10;750000;715;0
548;Tyler Johnson;CHI;CHI;C;26;3;4;7;6;4;10;5000000;716;0
554;Calen Addison;MIN;MIN;D;15;2;2;4;6;4;10;795000;717;0
556;Ronnie Attard;PHI;PHI;D;15;2;2;4;6;4;10;883750;718;0
632;Carter Rowney;None;DET;C;26;4;2;6;8;2;10;0;719;0
774;William Lagesson;CAR;EDM,MTL;D;33;0;5;5;0;10;10;750000;720;0
781;Max Willman;PHI;PHI;C;41;4;2;6;8;2;10;750000;721;0
789;Julien Gauthier;NYR;NYR;R;49;3;4;7;6;4;10;800000;722;0
817;Boris Katchouk;CHI;TBL,CHI;L;59;3;4;7;6;4;10;758333;723;0
829;Haydn Fleury;TBL;SEA;D;36;2;2;4;6;4;10;762500;724;0
831;Dylan Gambrell;OTT;OTT;C;63;3;4;7;6;4;10;950000;725;0
843;Matt Martin;NYI;NYI;L;71;3;4;7;6;4;10;1500000;726;0
338;Austin Czarnik;DET;NYI,SEA;C;17;2;5;7;4;5;9;762500;727;0
376;Cole Perfetti;WPG;WPG;C;18;2;5;7;4;5;9;894167;728;0
386;Alex Barre Boulet;TBL;SEA,TBL;C;16;3;3;6;6;3;9;758333;729;0
519;Gregory Hofmann;None;CBJ;C;24;2;5;7;4;5;9;0;730;0
525;Kevin Labanc;SJS;SJS;R;21;3;3;6;6;3;9;4725000;731;0
534;Nolan Patrick;VGK;VGK;C;25;2;5;7;4;5;9;1200000;732;0
569;Matt Luff;DET;NSH;R;23;3;3;6;6;3;9;750000;733;0
626;Matt Irwin;WAS;WSH;D;17;1;3;4;3;6;9;750000;734;0
627;Kevin Bahl;NJD;NJD;D;17;1;3;4;3;6;9;795000;735;0
667;Ross Johnston;NYI;NYI;L;32;2;5;7;4;5;9;1100000;736;0
670;Brendan Perlini;None;EDM;L;23;4;1;5;8;1;9;0;737;0
759;Brett Leason;WAS;WSH;R;36;3;3;6;6;3;9;775000;738;0
769;Nils Lundkvist;NYR;NYR;D;25;1;3;4;3;6;9;925000;739;0
779;Philippe Myers;TBL;NSH;D;27;1;3;4;3;6;9;2550000;740;0
804;Andrej Sekera;None;DAL;D;32;1;3;4;3;6;9;0;741;0
818;Thomas Harley;DAL;DAL;D;34;1;3;4;3;6;9;863333;742;0
322;Sasha Chmelevski;None;SJS;C;19;0;8;8;0;8;8;0;743;0
387;Owen Power;BUF;BUF;D;8;2;1;3;6;2;8;916667;744;0
396;Derrick Pouliot;None;VGK,SEA;D;11;0;4;4;0;8;8;0;745;0
407;Radim Zohorna;PIT;PIT;L;17;2;4;6;4;4;8;750000;746;0
474;Brett Murray;BUF;BUF;L;19;2;4;6;4;4;8;750000;747;0
499;Oskar Steen;BOS;BOS;C;20;2;4;6;4;4;8;800000;748;0
575;Thomas Novak;NAS;NSH;C;27;1;6;7;2;6;8;750000;749;0
641;Drew Oconnor;PIT;PIT;L;22;3;2;5;6;2;8;750000;750;0
680;Slater Koekkoek;EDM;EDM;D;19;0;4;4;0;8;8;925000;751;0
698;Jonas Rondbjerg;VGK;VGK;R;30;2;4;6;4;4;8;766667;752;0
743;Connor Dewar;MIN;MIN;C;35;2;4;6;4;4;8;800000;753;0
750;Nathan Beaulieu;None;WPG;D;24;0;4;4;0;8;8;0;754;0
778;Colton White;ANA;NJD;D;27;0;4;4;0;8;8;762500;755;0
780;Jeffrey Viel;SJS;SJS;L;34;3;2;5;6;2;8;750000;756;0
782;Jake Leschyshyn;VGK;VGK;C;41;2;4;6;4;4;8;766667;757;0
810;Joel Kiviranta;DAL;DAL;L;56;1;6;7;2;6;8;1050000;758;0
833;Ryan Murray;EDM;COL;D;37;0;4;4;0;8;8;750000;759;0
864;Mark Borowiecki;NAS;NSH;D;57;0;4;4;0;8;8;900000;760;0
209;Nolan Foote;NJD;NJD;L;7;3;1;4;6;1;7;863333;761;0
311;Nick Blankenburg;CLB;CBJ;D;7;1;2;3;3;4;7;825000;762;0
404;Jesse Ylonen;MTL;MTL;R;14;2;3;5;4;3;7;880833;763;0
538;Drake Caggiula;PIT;BUF;C;18;2;3;5;4;3;7;750000;764;0
563;Mark Jankowski;NAS;BUF;C;19;2;3;5;4;3;7;750000;765;0
570;Matias Maccelli;ARI;ARI;L;23;1;5;6;2;5;7;853333;766;0
716;Buddy Robinson;CHI;ANA;R;32;1;5;6;2;5;7;750000;767;0
721;Morgan Barron;WPG;NYR,WPG;C;27;2;3;5;4;3;7;925000;768;0
765;Reese Johnson;CHI;CHI;C;37;1;5;6;2;5;7;800000;769;0
784;Colton Sceviour;None;EDM;C;35;2;3;5;4;3;7;0;770;0
802;Philip Broberg;EDM;EDM;D;23;1;2;3;3;4;7;863333;771;0
820;Greg McKegg;EDM;NYR;C;43;2;3;5;4;3;7;762500;772;0
836;Troy Stecher;ARI;DET,LAK;D;29;1;2;3;3;4;7;1250000;773;0
844;Brett Ritchie;None;CGY;R;41;3;1;4;6;1;7;0;774;0
847;Vladislav Kolyachonok;ARI;ARI;D;32;1;2;3;3;4;7;789167;775;0
859;Kevin Connauton;PHI;FLA,PHI;D;39;1;2;3;3;4;7;762500;776;0
861;Tucker Poolman;VAN;VAN;D;40;1;2;3;3;4;7;2500000;777;0
865;Nick Seeler;PHI;PHI;D;43;1;2;3;3;4;7;775000;778;0
352;Michael Sgarbossa;WAS;WSH;C;10;2;2;4;4;2;6;750000;779;0
361;Nathan Smith;ARI;ARI;C;10;2;2;4;4;2;6;883750;780;0
384;Matt Tennyson;None;NSH;D;8;0;3;3;0;6;6;0;781;0
496;Jakub Zboril;BOS;BOS;D;10;0;3;3;0;6;6;1137500;782;0
542;Dennis Cholowski;NYI;WSH,SEA;D;11;0;3;3;0;6;6;762500;783;0
545;Marc McLaughlin;BOS;BOS;C;11;3;0;3;6;0;6;883750;784;0
598;Mark Kastelic;OTT;OTT;C;16;2;2;4;4;2;6;821667;785;0
653;Mitchell Stephens;MTL;DET;C;27;0;6;6;0;6;6;750000;786;0
658;Arttu Ruotsalainen;None;BUF;C;18;2;2;4;4;2;6;0;787;0
679;James Neal;CLB;STL;L;19;2;2;4;4;2;6;0;788;0
717;Jalen Chatfield;CAR;CAR;D;16;0;3;3;0;6;6;762500;789;0
726;Justin Dowling;VAN;VAN;C;22;2;2;4;4;2;6;750000;790;0
742;Axel Jonsson Fjallby;WAS;WSH;L;23;2;2;4;4;2;6;750000;791;0
803;Tyler Pitlick;STL;CGY,MTL;C;39;1;4;5;2;4;6;0;792;0
813;Marian Studenic;DAL;NJD,DAL;L;33;2;2;4;4;2;6;750000;793;0
826;Jujhar Khaira;CHI;CHI;L;27;3;0;3;6;0;6;975000;794;0
862;John Hayden;SEA;BUF;C;55;2;2;4;4;2;6;750000;795;0
177;Thomas Bordeleau;SJS;SJS;C;8;0;5;5;0;5;5;916667;796;0
359;Isaac Ratcliffe;PHI;PHI;L;10;1;3;4;2;3;5;813750;797;0
362;Nikita Okhotiuk;NJD;NJD;D;5;1;1;2;3;2;5;789167;798;0
445;Mason McTavish;ANA;ANA;C;9;2;1;3;4;1;5;894167;799;0
501;Jack McBain;ARI;ARI;C;10;2;1;3;4;1;5;883750;800;0
530;Justin Barron;MTL;COL,MTL;D;7;1;1;2;3;2;5;925000;801;0
543;Sheldon Dries;VAN;VAN;C;11;2;1;3;4;1;5;762500;802;0
555;Taro Hirose;DET;DET;L;15;1;3;4;2;3;5;850000;803;0
635;Jan Jenik;ARI;ARI;R;13;2;1;3;4;1;5;795000;804;0
655;Christian Wolanin;VAN;BUF,LAK;D;9;1;1;2;3;2;5;750000;805;0
691;Greg Pateryn;bye;ANA;D;10;1;1;2;3;2;5;0;806;0
702;Matt Kiersted;FLA;FLA;D;10;1;1;2;3;2;5;762500;807;0
740;Kyle Turris;bye;EDM;C;23;1;3;4;2;3;5;0;808;0
768;Kyle Clifford;TOR;STL,TOR;L;25;1;3;4;2;3;5;762500;809;0
799;Michal Kempny;SEA;WSH;D;15;1;1;2;3;2;5;750000;810;0
800;Alex Vlasic;CHI;CHI;D;15;1;1;2;3;2;5;916667;811;0
814;Adam Brooks;PHI;MTL,VGK,WPG;C;25;2;1;3;4;1;5;762500;812;0
860;Liam O'Brien;None;ARI;C;39;2;1;3;4;1;5;0;813;0
874;Kristian Vesalainen;None;WPG;L;53;2;1;3;4;1;5;0;814;0
875;Radim Simek;SJS;SJS;D;36;1;1;2;3;2;5;2250000;815;0
52;Jack Drury;CAR;CAR;C;2;2;0;2;4;0;4;925000;816;0
154;Carl Dahlstrom;TOR;TOR;D;3;0;2;2;0;4;4;750000;817;0
254;Hayden Hodgson;PHI;PHI;R;6;1;2;3;2;2;4;800000;818;0
297;William Eklund;SJS;SJS;C;9;0;4;4;0;4;4;894167;819;0
310;Josh Leivo;STL;CAR;L;7;1;2;3;2;2;4;750000;820;0
358;Linus Hogberg;PHI;PHI;D;5;0;2;2;0;4;4;750000;821;0
363;Bobby Brink;PHI;PHI;R;10;0;4;4;0;4;4;925000;822;0
426;Martin Frk;STL;LAK;R;6;2;0;2;4;0;4;750000;823;0
428;Nick Merkley;None;SJS;R;9;1;2;3;2;2;4;0;824;0
431;Jeremy Davies;BUF;NSH;D;6;0;2;2;0;4;4;750000;825;0
437;Sean Walker;LAK;LAK;D;6;0;2;2;0;4;4;2650000;826;0
526;Sammy Blais;None;NYR;L;14;0;4;4;0;4;4;0;827;0
529;Paul Cotter;VGK;VGK;C;7;2;0;2;4;0;4;760000;828;0
593;Noah Juulsen;VAN;VAN;D;8;0;2;2;0;4;4;750000;829;0
599;Austin Strand;ANA;LAK;D;8;0;2;2;0;4;4;750000;830;0
634;Carson Meyer;CLB;CBJ;R;13;1;2;3;2;2;4;750000;831;0
656;Juuso Valimaki;CGY;CGY;D;9;0;2;2;0;4;4;1550000;832;0
659;Santeri Hatakka;SJS;SJS;D;9;0;2;2;0;4;4;850833;833;0
738;Logan Shaw;None;OTT;R;17;1;2;3;2;2;4;0;834;0
758;Benoit Olivier Groulx;ANA;ANA;C;18;1;2;3;2;2;4;822500;835;0
761;Zac Jones;None;NYR;D;12;0;2;2;0;4;4;0;836;0
835;Jacob Moverare;LAK;LAK;D;19;0;2;2;0;4;4;762500;837;0
848;Nate Thompson;None;PHI;C;33;1;2;3;2;2;4;0;838;0
858;Riley Nash;None;WPG,TBL,ARI;C;49;0;4;4;0;4;4;0;839;0
863;Alexey Toropchenko;STL;STL;R;28;2;0;2;4;0;4;750000;840;0
866;Jonah Gadjovich;SJS;SJS;L;43;1;2;3;2;2;4;750000;841;0
54;Jack Quinn;BUF;BUF;R;2;1;1;2;2;1;3;863333;842;0
438;Trey Fix Wolansky;CLB;CBJ;R;6;1;1;2;2;1;3;750000;843;0
444;Kent Johnson;CLB;CBJ;C;9;0;3;3;0;3;3;925000;844;0
528;Riley Damiani;DAL;DAL;C;7;1;1;2;2;1;3;803333;845;0
586;Brad Malone;EDM;EDM;C;8;1;1;2;2;1;3;762500;846;0
594;Ethan Prow;None;BUF;D;4;1;0;1;3;0;3;0;847;0
652;AJ Greer;BOS;NJD;L;9;1;1;2;2;1;3;762500;848;0
660;Jake Neighbours;STL;STL;L;9;1;1;2;2;1;3;835833;849;0
699;Jack Studnicka;BOS;BOS;C;15;0;3;3;0;3;3;762500;850;0
729;Kiefer Sherwood;NAS;COL;L;11;1;1;2;2;1;3;750000;851;0
762;Jack Ahcan;BOS;BOS;D;6;1;0;1;3;0;3;750000;852;0
771;Kristian Reichel;WPG;WPG;C;13;1;1;2;2;1;3;775000;853;0
777;Jayson Megna;COL;COL;C;20;0;3;3;0;3;3;750000;854;0
786;Jarred Tinordi;NYR;NYR;D;7;1;0;1;3;0;3;900000;855;0
790;John Leonard;NAS;SJS;L;14;1;1;2;2;1;3;750000;856;0
801;Tanner Kero;DAL;DAL;C;23;0;3;3;0;3;3;750000;857;0
809;Jake Christiansen;None;CBJ;D;8;1;0;1;3;0;3;0;858;0
839;Lias Andersson;LAK;LAK;C;20;1;1;2;2;1;3;750000;859;0
841;Jordan Harris;MTL;MTL;D;10;1;0;1;3;0;3;842500;860;0
849;Jonny Brodzinski;NYR;NYR;C;22;1;1;2;2;1;3;762500;861;0
868;Tyler Benson;EDM;EDM;L;29;1;1;2;2;1;3;750000;862;0
869;Alec Regula;CHI;CHI;D;15;1;0;1;3;0;3;866667;863;0
871;Grant Hutton;NYI;NYI;D;16;1;0;1;3;0;3;775000;864;0
872;Jay Beagle;None;ARI;C;33;1;1;2;2;1;3;0;865;0
47;Markus Nutivaara;SJS;FLA;D;1;0;1;1;0;2;2;1500000;866;0
48;Andrew Poturalski;SEA;CAR;C;2;0;2;2;0;2;2;762500;867;0
49;Lucas Johansen;WAS;WSH;D;1;0;1;1;0;2;2;762500;868;0
51;Reilly Walsh;NJD;NJD;D;1;0;1;1;0;2;2;925000;869;0
255;Vladimir Tkachev;None;LAK;L;4;0;2;2;0;2;2;0;870;0
258;Garrett Pilon;WAS;WSH;C;2;1;0;1;2;0;2;750000;871;0
429;Kyle Criscuolo;DET;DET;C;6;0;2;2;0;2;2;750000;872;0
442;Connor Mackey;CGY;CGY;D;3;0;1;1;0;2;2;912500;873;0
524;Scott Sabourin;OTT;OTT;R;7;0;2;2;0;2;2;750000;874;0
592;Bokondji Imama;ARI;ARI;L;4;1;0;1;2;0;2;750000;875;0
597;Otto Koivula;NYI;NYI;L;8;0;2;2;0;2;2;800000;876;0
600;Rafael Harvey Pinard;MTL;MTL;L;4;1;0;1;2;0;2;825000;877;0
661;Alexander Holtz;NJD;NJD;R;9;0;2;2;0;2;2;894167;878;0
700;Juuso Riikola;None;PIT;D;5;0;1;1;0;2;2;0;879;0
703;Ben Meyers;COL;COL;C;5;1;0;1;2;0;2;912500;880;0
747;Blake Comeau;None;DAL;L;6;1;0;1;2;0;2;0;881;0
749;Andy Andreoff;NYI;NYI;C;6;1;0;1;2;0;2;762500;882;0
753;Jacob Larsson;OTT;ANA;D;6;0;1;1;0;2;2;750000;883;0
754;Lukas Vejdemo;None;MTL;C;6;1;0;1;2;0;2;0;884;0
755;Kasper Bjorkqvist;None;PIT;R;6;1;0;1;2;0;2;0;885;0
760;Mattias Norlinder;MTL;MTL;D;6;0;1;1;0;2;2;859167;886;0
763;Hendrix Lapierre;WAS;WSH;C;6;1;0;1;2;0;2;863333;887;0
785;John Moore;ANA;BOS;D;7;0;1;1;0;2;2;1625000;888;0
787;Scott Harrington;None;CBJ;D;7;0;1;1;0;2;2;0;889;0
788;Mackenzie MacEachern;CAR;STL;L;14;0;2;2;0;2;2;750000;890;0
791;Jesper Froden;SEA;BOS;R;7;1;0;1;2;0;2;750000;891;0
807;Ian Mitchell;CHI;CHI;D;8;0;1;1;0;2;2;925000;892;0
808;Jacob Bernard Docker;OTT;OTT;D;8;0;1;1;0;2;2;925000;893;0
827;Petteri Lindbohm;None;FLA;D;9;0;1;1;0;2;2;0;894;0
828;Nic Petan;None;VAN;C;18;0;2;2;0;2;2;0;895;0
832;Nicholas Abruzzese;None;TOR;C;9;1;0;1;2;0;2;0;896;0
837;Riley Tufte;DAL;DAL;L;10;1;0;1;2;0;2;750000;897;0
840;Gabriel Fortier;TBL;TBL;L;10;1;0;1;2;0;2;791667;898;0
842;Nicholas Robertson;TOR;TOR;L;10;1;0;1;2;0;2;796667;899;0
845;Mike Hardman;CHI;CHI;L;21;0;2;2;0;2;2;800000;900;0
851;Daniil Miromanov;VGK;VGK;D;11;0;1;1;0;2;2;762500;901;0
852;Jackson Cates;PHI;PHI;C;11;1;0;1;2;0;2;775000;902;0
855;Cedric Paquette;None;MTL;C;24;0;2;2;0;2;2;0;903;0
856;Beck Malenstyn;WAS;WSH;L;12;1;0;1;2;0;2;762500;904;0
867;Lane Pederson;CAR;SJS;C;29;0;2;2;0;2;2;750000;905;0
873;Libor Hajek;NYR;NYR;D;17;0;1;1;0;2;2;800000;906;0
876;Ben Harpur;None;NSH;D;19;0;1;1;0;2;2;0;907;0
877;Markus Niemelainen;EDM;EDM;D;20;0;1;1;0;2;2;762500;908;0
43;Joseph Cramarossa;MIN;MIN;C;1;0;1;1;0;1;1;750000;909;0
46;Cooper Marody;PHI;EDM;C;1;0;1;1;0;1;1;762500;910;0
53;Valtteri Puustinen;PIT;PIT;R;1;0;1;1;0;1;1;842500;911;0
427;Gemel Smith;TBL;DET;C;3;0;1;1;0;1;1;750000;912;0
430;Fredrik Karlstrom;DAL;DAL;C;3;0;1;1;0;1;1;750000;913;0
436;Jayden Halbgewachs;None;SJS;L;3;0;1;1;0;1;1;0;914;0
440;Adam Beckman;MIN;MIN;L;3;0;1;1;0;1;1;894167;915;0
443;Alex Steeves;TOR;TOR;C;3;0;1;1;0;1;1;834167;916;0
588;Richard Panik;NYI;NYI;R;4;0;1;1;0;1;1;1375000;917;0
692;Matthew Peca;STL;STL;C;5;0;1;1;0;1;1;762500;918;0
693;Danny O'Regan;None;ANA;C;5;0;1;1;0;1;1;0;919;0
695;Dylan Sikura;CHI;COL;R;5;0;1;1;0;1;1;750000;920;0
701;Shane Pinto;OTT;OTT;C;5;0;1;1;0;1;1;925000;921;0
757;Aleksi Heponiemi;FLA;FLA;C;6;0;1;1;0;1;1;750000;922;0
805;Josh Archibald;PIT;EDM;R;8;0;1;1;0;1;1;900000;923;0
806;Cody Glass;NAS;NSH;C;8;0;1;1;0;1;1;874125;924;0
825;Brett Connolly;None;CHI;R;9;0;1;1;0;1;1;0;925;0
830;Clark Bishop;CGY;OTT;C;9;0;1;1;0;1;1;750000;926;0
838;Mathieu Olivier;CLB;NSH;R;10;0;1;1;0;1;1;750000;927;0
850;Lukas Reichel;CHI;CHI;L;11;0;1;1;0;1;1;925000;928;0
854;Dmitrij Jaskin;None;ARI;R;12;0;1;1;0;1;1;0;929;0
870;Josiah Slavin;CHI;CHI;L;15;0;1;1;0;1;1;842500;930;0
878;Alex Biega;None;TOR;D;2;0;0;0;0;0;0;0;931;0
879;Leo Komarov;None;NYI;R;1;0;0;0;0;0;0;0;932;0
880;Thomas Hickey;None;NYI;D;2;0;0;0;0;0;0;0;933;0
881;Zac Dalpe;FLA;FLA;C;1;0;0;0;0;0;0;750000;934;0
882;Luke Witkowski;STL;DET;D;1;0;0;0;0;0;0;750000;935;0
883;Andrew Agozzino;SJS;OTT;L;1;0;0;0;0;0;0;775000;936;0
884;Chris Wagner;BOS;BOS;R;1;0;0;0;0;0;0;1350000;937;0
885;Alex Belzile;MTL;MTL;R;11;0;0;0;0;0;0;750000;938;0
886;Max McCormick;SEA;SEA;L;10;0;0;0;0;0;0;762500;939;0
887;Fredrik Claesson;None;TBL;D;9;0;0;0;0;0;0;0;940;0
888;tj Tynan1;LAK;LAK;C;2;0;0;0;0;0;0;787500;941;0
889;Steven Fogarty;MIN;BOS;C;2;0;0;0;0;0;0;762500;942;0
890;Kyle Rau;None;MIN;C;5;0;0;0;0;0;0;0;943;0
891;Rocco Grimaldi;None;NSH;R;7;0;0;0;0;0;0;0;944;0
892;Sven Baertschi;None;VGK;L;1;0;0;0;0;0;0;0;945;0
893;Stefan Noesen;CAR;CAR;R;2;0;0;0;0;0;0;762500;946;0
894;Seth Griffith;EDM;EDM;C;1;0;0;0;0;0;0;762500;947;0
895;Turner Elson;NYR;DET;C;2;0;0;0;0;0;0;762500;948;0
896;Kurtis Gabriel;None;CHI;R;2;0;0;0;0;0;0;0;949;0
897;Stefan Matteau;None;COL;C;1;0;0;0;0;0;0;0;950;0
898;Paul LaDue;NYI;NYI;D;1;0;0;0;0;0;0;762500;951;0
899;Riley Barber;DAL;DET;R;4;0;0;0;0;0;0;750000;952;0
900;Tyler Lewington;None;BOS;D;2;0;0;0;0;0;0;0;953;0
901;Hudson Fasching;NYI;ARI;R;11;0;0;0;0;0;0;750000;954;0
902;Mason Geertsen;NJD;NJD;D;25;0;0;0;0;0;0;750000;955;0
903;Miles Wood;NJD;NJD;L;3;0;0;0;0;0;0;3200000;956;0
904;Remi Elie;None;TBL;L;1;0;0;0;0;0;0;0;957;0
905;Dillon Heatherington;OTT;OTT;D;9;0;0;0;0;0;0;762500;958;0
906;Justin Bailey;None;VAN;R;14;0;0;0;0;0;0;0;959;0
907;Madison Bowey;MTL;VAN;D;2;0;0;0;0;0;0;750000;960;0
908;Frederik Gauthier;None;NJD;C;8;0;0;0;0;0;0;0;961;0
909;Dakota Mermis;MIN;MIN;D;2;0;0;0;0;0;0;750000;962;0
910;Brandon Baddock;MIN;MTL;L;1;0;0;0;0;0;0;750000;963;0
911;Michael Dal Colle;None;NYI;L;1;0;0;0;0;0;0;0;964;0
912;Ryan MacInnis;None;BUF;C;1;0;0;0;0;0;0;0;965;0
913;Chase De Leo;ANA;NJD;L;2;0;0;0;0;0;0;762500;966;0
914;Austin Poganski;SEA;WPG;R;16;0;0;0;0;0;0;750000;967;0
915;CJ Suess;SJS;WPG;L;3;0;0;0;0;0;0;775000;968;0
916;Anthony Angello;STL;PIT;C;4;0;0;0;0;0;0;750000;969;0
917;Darren Raddysh;TBL;TBL;D;4;0;0;0;0;0;0;762500;970;0
918;Brendan Guhle;None;ANA;D;6;0;0;0;0;0;0;0;971;0
919;Glenn Gawdin;ANA;CGY;C;2;0;0;0;0;0;0;762500;972;0
920;Guillaume Brisebois;VAN;VAN;D;1;0;0;0;0;0;0;750000;973;0
921;Blake Speers;None;ARI;C;2;0;0;0;0;0;0;0;974;0
922;Zach Senyshyn;None;OTT;R;2;0;0;0;0;0;0;0;975;0
923;Chase Pearson;DET;DET;C;3;0;0;0;0;0;0;917831;976;0
924;Kevin Stenlund;WPG;CBJ;C;3;0;0;0;0;0;0;750000;977;0
925;Christian Jaros;None;NJD;D;11;0;0;0;0;0;0;0;978;0
926;Brett Seney;CHI;TOR;L;2;0;0;0;0;0;0;750000;979;0
927;Kole Sherwood;None;NSH;R;1;0;0;0;0;0;0;0;980;0
928;Dan Renouf;None;DET;D;4;0;0;0;0;0;0;0;981;0
929;Joey Anderson;TOR;TOR;R;5;0;0;0;0;0;0;750000;982;0
930;Maxime Lajoie;CAR;CAR;D;5;0;0;0;0;0;0;750000;983;0
931;Wade Allison;PHI;PHI;R;1;0;0;0;0;0;0;785000;984;0
932;Olli Juolevi;ANA;FLA,DET;D;18;0;0;0;0;0;0;750000;985;0
